model_name,part_ids
-01 Haier Refrigerator,NA
00 Samsung Refrigerator,NA
00740570 Bosch Refrigerator,PS16556076
10061 Samsung Refrigerator,PS4135440 | PS4135669 | PS4135677 | PS4136719 | PS4136725 | PS4132201 | PS4132203 | PS4132477 | PS4132510 | PS4274374 | PS4133678 | PS4133684 | PS4274378 | PS4274395 | PS4275415 | PS4274393 | PS4274394 | PS4275427 | PS4133498 | PS4133670 | PS4133908 | PS4131137 | PS4131138 | PS4133720 | PS4133713 | PS4274479 | PS4274482 | PS4274483 | PS4274035 | PS4274036 | PS4274038 | PS4274121 | PS4274122 | PS4274123 | PS4274120 | PS4274125 | PS4274126 | PS4274127 | PS4274128 | PS4274129 | PS4274130 | PS4274157 | PS4274161 | PS4274164 | PS4274165 | PS4274193 | PS4274231 | PS4274265 | PS4274266 | PS4274267 | PS4274268 | PS4274286 | PS4274307 | PS4274308 | PS4274309 | PS4274327 | PS4274328 | PS4274348 | PS4274361 | PS4274415 | PS4274433 | PS4274502 | PS4274531 | PS4274534 | PS4274547 | PS4274557 | PS4274558 | PS4274562 | PS4275048 | PS4275130 | PS4275131 | PS4275132 | PS4275133 | PS4275137 | PS4275138 | PS4275139 | PS4275140 | PS4275467 | PS4275468 | PS4275469 | PS4275470 | PS4275471 | PS4275472 | PS4275473 | PS4275474 | PS4275475 | PS4275476 | PS4275480 | PS4275481 | PS4275482 | PS4275483 | PS4275484 | PS4275485 | PS4275486 | PS4275487 | PS4275488 | PS4275489 | PS4275491 | PS4275492 | PS4275493 | PS4275600 | PS4275601 | PS4275603 | PS4275604 | PS4274475 | PS4274473 | PS4274471 | PS4274480
10130A Samsung Refrigerator,PS4135668 | PS4136719 | PS4136725 | PS4136792 | PS4132186 | PS4132193 | PS4132370 | PS4132510 | PS4132723 | PS4133677 | PS4274373 | PS4274395 | PS4275414 | PS4274394 | PS4274401 | PS4133497 | PS4133853 | PS4133857 | PS4133908 | PS4133911 | PS4133713 | PS4274479 | PS4274483 | PS4274037 | PS4274050 | PS4274157 | PS4274159 | PS4274160 | PS4274163 | PS4274230 | PS4274258 | PS4274264 | PS4274285 | PS4274308 | PS4274411 | PS4274503 | PS4274533 | PS4274547 | PS4274556 | PS4274561 | PS4275048 | PS4275085 | PS4275131 | PS4275466 | PS4275479 | PS4275490 | PS4274474 | PS4274473 | PS4274471 | PS4274480
10162A Samsung Refrigerator,PS4274480 | PS4135440 | PS4136669 | PS4136719 | PS4136725 | PS4132201 | PS4132477 | PS4132510 | PS4274374 | PS4133678 | PS4133670 | PS4274395 | PS4274397 | PS4274393 | PS4274394 | PS4133498 | PS4133908 | PS4131137 | PS4133713 | PS4274479 | PS4274482 | PS4274483 | PS4274123 | PS4274120 | PS4274157 | PS4274161 | PS4274165 | PS4274193 | PS4274231 | PS4274265 | PS4274286 | PS4274308 | PS4274432 | PS4274438 | PS4274534 | PS4274547 | PS4274558 | PS4274562 | PS4275048 | PS4275131 | PS4275140 | PS4275469 | PS4275480 | PS4275492 | PS4275601 | PS4274475 | PS4274471 | PS4274473
10211A Samsung Refrigerator,PS4274480 | PS4135441 | PS4136669 | PS4136711 | PS4136714 | PS4136715 | PS4136778 | PS4132201 | PS4132674 | PS4132740 | PS4133687 | PS4274372 | PS4274397 | PS4275418 | PS4275419 | PS4274393 | PS4274394 | PS4274395 | PS4275423 | PS4275424 | PS4275425 | PS4133494 | PS4133508 | PS4133845 | PS4133846 | PS4133854 | PS4133904 | PS4133713 | PS4274479 | PS4274482 | PS4274484 | PS4274485 | PS4274036 | PS4274124 | PS4274128 | PS4274165 | PS4274166 | PS4274247 | PS4274257 | PS4274272 | PS4274287 | PS4274325 | PS4274329 | PS4274347 | PS4274423 | PS4274425 | PS4274462 | PS4274531 | PS4274532 | PS4274534 | PS4274547 | PS4274557 | PS4274558 | PS4274562 | PS4275048 | PS4275131 | PS4275140 | PS4275460 | PS4275464 | PS4275602 | PS4276644 | PS4274475 | PS4274473 | PS4274471
10312A Samsung Refrigerator,PS4274480 | PS4135441 | PS4136669 | PS4136706 | PS4136708 | PS4136724 | PS4132201 | PS4132674 | PS4133670 | PS4133672 | PS4274372 | PS4274394 | PS4274397 | PS4275416 | PS4275417 | PS4274393 | PS4274395 | PS4133493 | PS4133511 | PS4133845 | PS4133846 | PS4133850 | PS4133859 | PS4133904 | PS4131137 | PS4133714 | PS4133713 | PS4274479 | PS4274481 | PS4274482 | PS4274483 | PS4274120 | PS4274123 | PS4274165 | PS4274166 | PS4274194 | PS4274247 | PS4274265 | PS4274288 | PS4274426 | PS4274432 | PS4274461 | PS4274532 | PS4274534 | PS4274547 | PS4274557 | PS4274562 | PS4275048 | PS4275131 | PS4275140 | PS4275461 | PS4275465 | PS4275601 | PS4274473 | PS4274475 | PS4274471
103200 Admiral Refrigerator,PS12728638 | PS12349731 | PS11743133 | PS2073411 | PS12114323 | PS11751203 | PS2008545 | PS11743719 | PS11749031 | PS2057900 | PS11740569 | PS2162387 | PS112860 | PS32237 | PS114507 | PS2064834 | PS2002789 | PS49733 | PS51038 | PS110958 | PS112276 | PS112277 | PS112855 | PS112890 | PS112942 | PS96746 | PS110776 | PS527712 | PS112065 | PS526897 | PS526898 | PS526894 | PS526895 | PS526896 | PS527638 | PS527642 | PS527643 | PS527651 | PS527654 | PS527695 | PS527701 | PS527704 | PS527709 | PS526886 | PS526889 | PS505685 | PS505690 | PS526883 | PS529282 | PS526884 | PS526885 | PS798882 | PS798905 | PS798946 | PS805394 | PS805397 | PS729858 | PS730015 | PS730127 | PS730770 | PS514090 | PS548334 | PS529281 | PS526604 | PS526874 | PS526875 | PS526876 | PS526877 | PS526878 | PS526879 | PS526880 | PS526881 | PS526887 | PS526888 | PS526890 | PS526891 | PS526892 | PS526893 | PS526899 | PS526901 | PS526902 | PS526913 | PS526914 | PS526915 | PS526916 | PS526917 | PS526918 | PS526919 | PS1465468 | PS12183877
103210 Admiral Refrigerator,PS12728638 | PS12349731 | PS11743133 | PS2073411 | PS12114323 | PS11751203 | PS2008545 | PS11743719 | PS11749031 | PS2057900 | PS11740569 | PS2162387 | PS112860 | PS32237 | PS114507 | PS2064834 | PS2002789 | PS49733 | PS51038 | PS110958 | PS112276 | PS112277 | PS112855 | PS112890 | PS112942 | PS96746 | PS110776 | PS527712 | PS112065 | PS526897 | PS526898 | PS526894 | PS526895 | PS526896 | PS527638 | PS527642 | PS527643 | PS527651 | PS527654 | PS527695 | PS527701 | PS527704 | PS527709 | PS526886 | PS526885 | PS526889 | PS505685 | PS505690 | PS526883 | PS529282 | PS526884 | PS798882 | PS798905 | PS798946 | PS805394 | PS805397 | PS729858 | PS730015 | PS730127 | PS730770 | PS514090 | PS548334 | PS529281 | PS526604 | PS526874 | PS526875 | PS526876 | PS526877 | PS526878 | PS526879 | PS526880 | PS526881 | PS526887 | PS526888 | PS526890 | PS526891 | PS526892 | PS526893 | PS526899 | PS526901 | PS526902 | PS526913 | PS526914 | PS526915 | PS526916 | PS526917 | PS526918 | PS526919 | PS1465468 | PS12183877
